,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,gain,loss,rt,response,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
t_subj.46,t_subj,True,False,True,t_subj.46,(),['subj_idx'],False,46,,,,,0.6923471560523761,0.00836540629374678,0.6741954857089364,0.6872796861875557,0.6931912510646057,0.6983408710781908,0.7068322514242928,0.00021938784869580532,0.7009227696153479
t_subj.50,t_subj,True,False,True,t_subj.50,(),['subj_idx'],False,50,,,,,0.8215445728615415,0.021074192524884967,0.7765165226844527,0.8083028592096557,0.8232753287368048,0.8362594961913321,0.8589619343352353,0.0004830200119666208,0.8690777879330291
t_subj.52,t_subj,True,False,True,t_subj.52,(),['subj_idx'],False,52,,,,,0.7293286882373797,0.017094354188524796,0.6937903400060643,0.7182138126355764,0.730023726140873,0.7416084621828452,0.7599811753768723,0.00048772633726017043,0.7593218314425353
t_subj.54,t_subj,True,False,True,t_subj.54,(),['subj_idx'],False,54,,,,,0.801119862447062,0.01546876320244468,0.7689556602295002,0.7909707771637806,0.801813058430734,0.8118346666363091,0.8292876920953912,0.00041169017955167587,0.8340462861276104
t_subj.58,t_subj,True,False,True,t_subj.58,(),['subj_idx'],False,58,,,,,0.6498721384029544,0.010715208152422091,0.6274211463105513,0.643007227887393,0.6503981215292818,0.6576412275411259,0.6690516798178855,0.00026704532888625497,0.6598650512599964
t_subj.60,t_subj,True,False,True,t_subj.60,(),['subj_idx'],False,60,,,,,0.7387111935851435,0.014603362004063482,0.7068761384694845,0.7296589484811621,0.739935960222291,0.7489079493297387,0.7639795123576327,0.00039580286355712447,0.7615858265229046
t_subj.62,t_subj,True,False,True,t_subj.62,(),['subj_idx'],False,62,,,,,0.4741948517768486,0.00798963075316715,0.4565692064034698,0.4695685771728848,0.4747807713509394,0.4799019780408322,0.4877400364491565,0.00018129000040511807,0.48565485926796587
t_subj.64,t_subj,True,False,True,t_subj.64,(),['subj_idx'],False,64,,,,,0.8385689420732526,0.015690696615112864,0.8056832813138034,0.8283820643349581,0.8398864863645864,0.8497481127336796,0.866210589850025,0.00042161626469767695,0.8570406182860796
t_subj.66,t_subj,True,False,True,t_subj.66,(),['subj_idx'],False,66,,,,,0.9023470167479488,0.021990893759648425,0.8537117375210861,0.8886380046382992,0.9042053345214166,0.9173390366040145,0.9409047914059337,0.0005198627110759159,0.9564400429466717
t_subj.68,t_subj,True,False,True,t_subj.68,(),['subj_idx'],False,68,,,,,0.7469647729415008,0.014475109551607015,0.7155144344935017,0.7376054946378167,0.7482759942244809,0.7572917053898572,0.7715642643019097,0.0002992829557638396,0.763694843042427
t_subj.70,t_subj,True,False,True,t_subj.70,(),['subj_idx'],False,70,,,,,0.8584956548357063,0.0163414256310605,0.8220838553313807,0.8484335031117437,0.8604166556944242,0.8700102998051696,0.885708509514712,0.00038715618747009613,0.88142590906175
t_subj.72,t_subj,True,False,True,t_subj.72,(),['subj_idx'],False,72,,,,,0.8970008002107998,0.022098510842161863,0.8478984309509531,0.8835522136589713,0.8986699783027959,0.9125372255719363,0.9359658419213742,0.0005569027060871618,0.9506317891030461
t_subj.74,t_subj,True,False,True,t_subj.74,(),['subj_idx'],False,74,,,,,0.655891986827655,0.01459204207579085,0.6238799564840204,0.6467863069256522,0.6571569951337491,0.6662340349562809,0.6807283127862233,0.0003547886821382905,0.6749830619000773
t_subj.76,t_subj,True,False,True,t_subj.76,(),['subj_idx'],False,76,,,,,0.559716393153898,0.00860852452734187,0.5410101561466444,0.5543024926726616,0.5602387672999495,0.5657595394549646,0.5750460634568104,0.0002523077704692191,0.5786210701836454
t_subj.80,t_subj,True,False,True,t_subj.80,(),['subj_idx'],False,80,,,,,0.7535666373900097,0.013122673533646122,0.7256381501219952,0.7453104762495921,0.7549345313062422,0.7631639969394615,0.7757909829290717,0.0002833251439117222,0.771139016479187
t_subj.82,t_subj,True,False,True,t_subj.82,(),['subj_idx'],False,82,,,,,0.7167597230391984,0.015915017413367667,0.6842418896502863,0.7065884758887587,0.7178811871106361,0.7277628861012139,0.7456383981381605,0.00045536671498072335,0.7361405043127216
t_subj.84,t_subj,True,False,True,t_subj.84,(),['subj_idx'],False,84,,,,,0.8632651007365616,0.014368449649603118,0.8311873254862754,0.8545405363420839,0.8643897220114262,0.8734943214114504,0.8881923293217933,0.0003315967101667216,0.8856830551671082
t_subj.88,t_subj,True,False,True,t_subj.88,(),['subj_idx'],False,88,,,,,0.6166028143430715,0.01939776111607217,0.5749224614010562,0.6044288497097767,0.6174448687528419,0.6301975802087865,0.6510506904646873,0.0004783633442519914,0.6467357775787032
t_subj.90,t_subj,True,False,True,t_subj.90,(),['subj_idx'],False,90,,,,,0.6444260484294827,0.012992000436784676,0.6158099939070064,0.6365206424224589,0.6455789620416804,0.6536871380018513,0.6665532116280193,0.00030458108316209234,0.6539773454692275
t_subj.92,t_subj,True,False,True,t_subj.92,(),['subj_idx'],False,92,,,,,0.8375807611951385,0.018743209147753147,0.7977544447778672,0.8259332936674867,0.8395242473781466,0.851022972553466,0.8692805515433372,0.00044989001547315465,0.8792435056822291
t_subj.94,t_subj,True,False,True,t_subj.94,(),['subj_idx'],False,94,,,,,0.6257174397250221,0.016810702522433503,0.5895804904196736,0.6151216103524795,0.6269793826102104,0.6371777038355576,0.6559295902286683,0.00046097717187881674,0.6556565122114255
t_subj.96,t_subj,True,False,True,t_subj.96,(),['subj_idx'],False,96,,,,,0.9608914860631482,0.015647747921001168,0.925692925300555,0.9510403256011803,0.9625560021695294,0.9720690568451902,0.9870176891867237,0.00034868463730609655,0.9806892839573879
t_subj.98,t_subj,True,False,True,t_subj.98,(),['subj_idx'],False,98,,,,,0.634771695373847,0.012044973128729305,0.609514876522069,0.6268480655712576,0.6354516988809731,0.6435847463279005,0.6560883710106293,0.00036569603559122473,0.6432349477759677
t_subj.100,t_subj,True,False,True,t_subj.100,(),['subj_idx'],False,100,,,,,0.8188994974102668,0.019748321359503766,0.7757769115516009,0.8064027110291688,0.820217184402761,0.832981011914632,0.8546655341003512,0.0003819619538936654,0.8683598859810014
t_subj.102,t_subj,True,False,True,t_subj.102,(),['subj_idx'],False,102,,,,,0.5826330072023063,0.007825637564830538,0.5653134947877904,0.5778594810901864,0.583398963824135,0.588166048149701,0.5958903028383313,0.00016751616478316057,0.5883060945456988
t_subj.104,t_subj,True,False,True,t_subj.104,(),['subj_idx'],False,104,,,,,0.8160207184743665,0.017537996993268544,0.7789880468809478,0.8050373699794656,0.8173473370460588,0.8280600359628871,0.847467352074444,0.000493699306861285,0.857699865098689
